name,group,default value,readonly,user_visible,notes,Range min,Range max,v2_user_visible (intent),v2_readonly (intent),changed_vs_v2
BATT2_ARM_VOLT,BATT,20,False,True,,,,True,False,
BATT2_CAPACITY,BATT,10000,False,True,"HARD CLAMPED 8000..20000 - out-of-range PARAM_SET rejected, stored value scrubbed at boot",8000,20000,False,False,user_visible False->True
BATT2_CRT_MAH,BATT,0,True,True,,,,False,True,user_visible False->True
BATT2_CRT_SOC,BATT,20,False,True,"Critical-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_CRT_ACT after BATT_LOW_TIMER. 0=disabled. Must be < LOW_SOC or arming fails (soc failsafe critical >= low).",,,,,NEW ROW
BATT2_CRT_VOLT,BATT,18.5,False,True,,,,True,False,
BATT2_CURR_MULT,BATT,1,True,True,,,,False,True,user_visible False->True
BATT2_FS_CRT_ACT,BATT,1,False,True,,,,True,False,
BATT2_FS_LOW_ACT,BATT,2,False,True,,,,True,False,
BATT2_FS_VOLTSRC,BATT,0,True,True,,,,False,True,user_visible False->True
BATT2_LOW_MAH,BATT,0,True,True,,,,False,True,user_visible False->True
BATT2_LOW_SOC,BATT,30,False,True,"Low-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_LOW_ACT after BATT_LOW_TIMER. 0=disabled. Added in 5fab6c5e26; Seeded in defaults.parm.",,,,,NEW ROW
BATT2_LOW_TIMER,BATT,10,True,True,,,,False,True,user_visible False->True
BATT2_LOW_VOLT,BATT,19,False,True,,,,True,False,
BATT2_MONITOR,BATT,8,True,True,,,,False,True,user_visible False->True
BATT2_OPTIONS,BATT,128,True,True,,,,False,True,user_visible False->True
BATT2_SERIAL_NUM,BATT,1,True,True,,,,False,True,user_visible False->True
BATT3_ARM_MAH,BATT,0,True,True,,,,False,True,user_visible False->True
BATT3_ARM_SOC,BATT,0,False,True,"Minimum SOC %% required to arm. 0=disabled. Not reset by reboot (uses the pack SOC estimate, unlike ARM_VOLT/ARM_MAH).",,,,,NEW ROW
BATT3_ARM_VOLT,BATT,20,False,True,,,,True,False,
BATT3_CAPACITY,BATT,10000,False,True,"HARD CLAMPED 8000..20000 - out-of-range PARAM_SET rejected, stored value scrubbed at boot",8000,20000,False,False,user_visible False->True
BATT3_CRT_MAH,BATT,0,True,True,,,,False,True,user_visible False->True
BATT3_CRT_SOC,BATT,20,False,True,"Critical-battery SOC failsafe threshold, %% remaining; triggers BATT_FS_CRT_ACT after BATT_LOW_TIMER. 0=disabled. Must be < LOW_SOC or arming fails (soc failsafe critical >= low).",,,,,NEW ROW
BATT3_CRT_VOLT,BATT,18.5,False,True,,,,True,False,
BATT3_CURR_MULT,BATT,1,True,True,,,,False,True,user_visible False->True
BATT3_FS_CRT_ACT,BATT,1,False,True,,,,True,False,
BATT3_FS_LOW_ACT,BATT,2,False,True,,,,True,False,
BATT3_FS_VOLTSRC,BATT,0,True,True,,,,False,True,user_visible False->True
